liga,position,valor
Serie A,Goalkeeper,0.075
Serie A,Attack,10.0
Premier League,Defender,10.0
Ligue 1,Defender,1.5
Premier League,Midfield,25.0
LaLiga,Attack,1.5
Ligue 1,Attack,0.4
Bundesliga,Attack,1.3
Bundesliga,Goalkeeper,0.6
Premier League,Attack,10.0
LaLiga,Midfield,3.0
Bundesliga,Attack,1.8
Bundesliga,Defender,3.0
Serie A,Midfield,4.0
Ligue 1,Attack,3.0
LaLiga,Attack,20.0
Premier League,Midfield,0.5
Premier League,Goalkeeper,13.0
Bundesliga,Attack,2.5
Ligue 1,Goalkeeper,0.05
Premier League,Midfield,5.0
Serie A,Defender,2.0
LaLiga,Attack,28.0
Bundesliga,Defender,1.5
Bundesliga,Midfield,0.175
Bundesliga,Defender,28.0
Premier League,Defender,40.0
Premier League,Defender,25.0
Premier League,Goalkeeper,0.3
Serie A,Defender,0.9
LaLiga,Attack,30.0
LaLiga,Defender,12.0
Premier League,Midfield,35.0
Premier League,Attack,20.0
Premier League,Attack,25.0
Ligue 1,Attack,2.0
LaLiga,Defender,2.0
Premier League,Attack,0.05
Premier League,Goalkeeper,0.8
Premier League,Midfield,30.0
Premier League,Defender,4.0
LaLiga,Defender,5.0
LaLiga,Attack,40.0
Premier League,Attack,1.7
Serie A,Midfield,3.0
Premier League,Attack,22.0
Ligue 1,Attack,30.0
Ligue 1,Midfield,5.0
Premier League,Defender,40.0
Ligue 1,Midfield,0.1
Premier League,Attack,22.0
Bundesliga,Defender,1.0
Ligue 1,Goalkeeper,10.0
Premier League,Attack,45.0
Ligue 1,Attack,4.0
Premier League,Midfield,40.0
Ligue 1,Defender,1.5
Premier League,Midfield,60.0
Bundesliga,Midfield,5.0
Bundesliga,Defender,1.0
Bundesliga,Attack,0.4
Ligue 1,Midfield,8.0
Premier League,Midfield,17.0
Ligue 1,Attack,45.0
Ligue 1,Goalkeeper,0.1
Ligue 1,Attack,7.0
Serie A,Attack,18.0
Serie A,Defender,23.0
Premier League,Defender,8.0
Serie A,Midfield,4.5
Bundesliga,Attack,32.0
Premier League,Midfield,8.0
Serie A,Attack,20.0
Premier League,Midfield,12.0
Premier League,Midfield,15.0
Serie A,Attack,4.0
Serie A,Attack,2.5
Ligue 1,Midfield,5.0
Premier League,Defender,35.0
Ligue 1,Attack,3.5
LaLiga,Attack,5.0
Ligue 1,Midfield,2.0
LaLiga,Defender,6.0
LaLiga,Midfield,1.5
Ligue 1,Defender,10.0
Ligue 1,Midfield,0.1
Ligue 1,Defender,1.0
LaLiga,Midfield,60.0
Ligue 1,Attack,4.0
Bundesliga,Attack,45.0
Bundesliga,Midfield,12.0
Serie A,Midfield,5.0
LaLiga,Defender,4.0
LaLiga,Midfield,4.0
LaLiga,Midfield,3.0
Ligue 1,Defender,18.0
Bundesliga,Defender,7.0
Ligue 1,Attack,5.0
Bundesliga,Defender,15.0
Ligue 1,Defender,20.0
Bundesliga,Midfield,7.0
Bundesliga,Midfield,1.0
LaLiga,Attack,10.0
Bundesliga,Midfield,65.0
Ligue 1,Defender,2.0
Bundesliga,Attack,12.0
Bundesliga,Midfield,25.0
Bundesliga,Defender,10.0
Ligue 1,Defender,6.0
Ligue 1,Defender,0.5
Serie A,Midfield,5.5
Premier League,Midfield,28.0
Premier League,Attack,30.0
Premier League,Attack,0.25
Ligue 1,Midfield,8.0
LaLiga,Attack,0.35
Ligue 1,Defender,1.5
LaLiga,Defender,25.0
Serie A,Defender,2.0
Ligue 1,Defender,12.0
Ligue 1,Defender,8.0
Bundesliga,Goalkeeper,0.5
Ligue 1,Defender,4.0
Bundesliga,Attack,24.0
Ligue 1,Midfield,0.1
Ligue 1,Attack,4.0
Ligue 1,Midfield,0.6
Bundesliga,Midfield,2.0
Ligue 1,Midfield,50.0
Bundesliga,Attack,7.0
Ligue 1,Attack,1.0
Bundesliga,Defender,6.0
Bundesliga,Attack,24.0
Ligue 1,Attack,2.5
LaLiga,Defender,60.0
Premier League,Attack,45.0
Serie A,Attack,4.5
Serie A,Midfield,12.0
Serie A,Defender,0.175
Bundesliga,Defender,6.0
Serie A,Goalkeeper,0.15
Ligue 1,Midfield,2.5
Ligue 1,Defender,12.0
Bundesliga,Midfield,45.0
Premier League,Midfield,1.0
Premier League,Attack,5.0
Serie A,Defender,2.5
Ligue 1,Defender,10.0
Ligue 1,Defender,1.0
LaLiga,Defender,1.0
Bundesliga,Attack,1.0
Bundesliga,Attack,2.0
Premier League,Midfield,40.0
Bundesliga,Attack,0.7
LaLiga,Defender,15.0
Ligue 1,Attack,4.0
Bundesliga,Midfield,40.0
Premier League,Attack,35.0
Premier League,Defender,25.0
Ligue 1,Defender,0.05
LaLiga,Defender,10.0
Bundesliga,Defender,0.4
Ligue 1,Defender,0.6
Bundesliga,Defender,2.0
Ligue 1,Defender,3.0
Ligue 1,Goalkeeper,1.0
LaLiga,Goalkeeper,0.2
LaLiga,Defender,0.1
LaLiga,Defender,0.25
LaLiga,Midfield,3.0
LaLiga,Attack,0.9
LaLiga,Midfield,6.0
LaLiga,Midfield,20.0
Serie A,Defender,1.5
Serie A,Attack,7.5
Ligue 1,Midfield,0.8
Premier League,Defender,7.0
Premier League,Defender,0.8
LaLiga,Attack,2.0
LaLiga,Defender,4.0
Serie A,Attack,75.0
Bundesliga,Midfield,7.5
Premier League,Defender,3.0
Ligue 1,Midfield,13.0
Serie A,Attack,12.0
Serie A,Defender,2.0
Bundesliga,Midfield,15.0
Premier League,Midfield,30.0
Serie A,Midfield,15.0
Premier League,Defender,2.2
Premier League,Midfield,0.2
Serie A,Defender,5.0
LaLiga,Midfield,45.0
LaLiga,Defender,4.0
Premier League,Defender,6.0
Premier League,Attack,0.6
Bundesliga,Defender,1.0
Serie A,Defender,7.0
Premier League,Midfield,7.0
Bundesliga,Midfield,18.0
Premier League,Midfield,1.0
Premier League,Midfield,40.0
Bundesliga,Attack,5.0
Premier League,Attack,30.0
Ligue 1,Goalkeeper,0.05
Premier League,Midfield,22.0
Ligue 1,Defender,20.0
Premier League,Midfield,0.275
Bundesliga,Defender,5.0
Serie A,Attack,10.0
Serie A,Midfield,6.0
Premier League,Midfield,32.0
Serie A,Defender,2.5
Premier League,Attack,3.0
Premier League,Midfield,32.0
Bundesliga,Attack,2.0
Bundesliga,Defender,2.5
Ligue 1,Defender,0.8
Bundesliga,Defender,3.0
Serie A,Defender,1.0
Premier League,Attack,0.15
LaLiga,Defender,10.0
Serie A,Defender,2.5
Ligue 1,Midfield,40.0
Premier League,Defender,40.0
Ligue 1,Defender,4.0
Bundesliga,Defender,40.0
LaLiga,Midfield,9.0
LaLiga,Attack,1.5
Bundesliga,Attack,32.0
LaLiga,Attack,5.0
Serie A,Defender,1.0
Serie A,Defender,5.0
Premier League,Defender,1.0
Premier League,Attack,30.0
Premier League,Defender,0.3
Serie A,Midfield,8.0
Ligue 1,Defender,0.25
Premier League,Attack,7.0
Ligue 1,Attack,9.0
Ligue 1,Midfield,40.0
Ligue 1,Midfield,0.5
Premier League,Defender,35.0
Bundesliga,Midfield,0.6
LaLiga,Attack,0.25
Premier League,Defender,4.5
Bundesliga,Midfield,0.3
LaLiga,Midfield,1.5
Premier League,Defender,25.0
Ligue 1,Midfield,3.5
Ligue 1,Goalkeeper,20.0
Ligue 1,Attack,90.0
Serie A,Attack,5.0
Ligue 1,Attack,1.8
Ligue 1,Attack,1.5
Ligue 1,Midfield,30.0
Bundesliga,Defender,12.0
LaLiga,Attack,0.75
Serie A,Midfield,14.0
Premier League,Attack,1.0
Premier League,Defender,8.0
Premier League,Midfield,6.0
Premier League,Midfield,20.0
Bundesliga,Attack,7.0
Premier League,Defender,55.0
Bundesliga,Defender,15.0
Bundesliga,Defender,25.0
Serie A,Midfield,8.0
Bundesliga,Goalkeeper,1.5
Ligue 1,Midfield,28.0
Premier League,Attack,30.0
Ligue 1,Defender,0.2
Bundesliga,Midfield,30.0
Premier League,Defender,2.0
Serie A,Attack,1.0
Serie A,Attack,35.0
Ligue 1,Midfield,15.0
Bundesliga,Midfield,40.0
Premier League,Defender,0.3
Ligue 1,Attack,8.0
Bundesliga,Defender,0.15
Serie A,Attack,0.3
Serie A,Attack,7.0
LaLiga,Attack,1.0
Premier League,Attack,22.0
LaLiga,Defender,10.0
LaLiga,Attack,120.0
LaLiga,Goalkeeper,0.1
Premier League,Defender,7.0
Premier League,Attack,7.5
LaLiga,Midfield,0.8
LaLiga,Defender,0.2
LaLiga,Goalkeeper,0.1
Serie A,Goalkeeper,0.01
Bundesliga,Attack,25.0
Bundesliga,Defender,4.0
Bundesliga,Attack,0.7
Ligue 1,Defender,0.05
Serie A,Midfield,8.0
Ligue 1,Defender,9.0
LaLiga,Defender,0.6
LaLiga,Midfield,0.3
LaLiga,Attack,4.0
Serie A,Defender,0.1
Bundesliga,Midfield,15.0
Serie A,Midfield,65.0
Ligue 1,Midfield,0.3
Premier League,Attack,1.8
Bundesliga,Defender,9.0
Ligue 1,Attack,5.0
Bundesliga,Attack,2.0
LaLiga,Defender,10.0
Premier League,Defender,0.75
Ligue 1,Attack,12.0
Ligue 1,Defender,5.0
Premier League,Attack,15.0
Ligue 1,Midfield,0.2
Premier League,Attack,6.0
Serie A,Defender,2.5
Serie A,Attack,12.0
LaLiga,Attack,10.0
LaLiga,Defender,30.0
LaLiga,Defender,1.0
Ligue 1,Defender,3.0
Premier League,Attack,10.0
Premier League,Attack,0.7
Serie A,Midfield,1.8
Ligue 1,Midfield,0.9
Ligue 1,Defender,0.6
Premier League,Midfield,60.0
Ligue 1,Midfield,3.5
Bundesliga,Defender,7.0
Ligue 1,Attack,0.4
Serie A,Midfield,6.0
Serie A,Midfield,8.5
Premier League,Midfield,18.0
Serie A,Defender,10.0
Ligue 1,Goalkeeper,0.15
Serie A,Midfield,0.2
Ligue 1,Defender,0.05
Ligue 1,Defender,9.0
Ligue 1,Attack,7.0
Premier League,Defender,1.0
Premier League,Midfield,25.0
Serie A,Defender,0.45
Bundesliga,Goalkeeper,7.0
Bundesliga,Attack,2.0
Ligue 1,Defender,20.0
Ligue 1,Midfield,4.0
Ligue 1,Midfield,2.0
Premier League,Defender,20.0
Ligue 1,Defender,15.0
LaLiga,Defender,30.0
Premier League,Defender,55.0
Premier League,Defender,20.0
Premier League,Defender,1.5
Bundesliga,Defender,1.0
Bundesliga,Midfield,0.25
Ligue 1,Defender,0.4
Premier League,Defender,8.0
Premier League,Midfield,20.0
Ligue 1,Attack,0.5
Ligue 1,Midfield,7.0
Premier League,Attack,2.5
Premier League,Attack,40.0
Premier League,Attack,1.0
Ligue 1,Midfield,12.0
Serie A,Attack,8.5
LaLiga,Defender,10.0
Ligue 1,Defender,3.0
LaLiga,Defender,0.2
LaLiga,Defender,1.0
LaLiga,Midfield,1.0
LaLiga,Attack,0.3
Ligue 1,Goalkeeper,0.5
Premier League,Attack,5.0
Premier League,Midfield,6.0
Bundesliga,Defender,0.15
Premier League,Defender,1.0
Ligue 1,Attack,7.0
Serie A,Attack,15.0
Premier League,Attack,25.0
Premier League,Attack,4.0
Serie A,Attack,12.0
LaLiga,Defender,5.0
Premier League,Defender,7.0
LaLiga,Midfield,0.5
Ligue 1,Attack,0.3
LaLiga,Defender,0.5
Bundesliga,Attack,25.0
Premier League,Attack,4.0
Bundesliga,Defender,0.15
Bundesliga,Midfield,0.25
Bundesliga,Midfield,60.0
Ligue 1,Goalkeeper,0.15
LaLiga,Defender,15.0
Bundesliga,Defender,8.0
Premier League,Defender,10.0
Ligue 1,Attack,2.5
Serie A,Attack,0.7
Bundesliga,Defender,20.0
Ligue 1,Defender,8.0
Ligue 1,Defender,1.0
Ligue 1,Attack,0.7
Ligue 1,Midfield,40.0
LaLiga,Attack,0.25
Ligue 1,Attack,5.0
Premier League,Defender,0.5
Premier League,Midfield,1.2
Premier League,Attack,15.0
Premier League,Attack,12.0
Ligue 1,Defender,0.8
Serie A,Attack,0.15
Serie A,Defender,15.0
Bundesliga,Midfield,4.0
Bundesliga,Midfield,1.0
Ligue 1,Attack,6.0
Premier League,Attack,15.0
Ligue 1,Midfield,8.0
Serie A,Attack,10.0
Ligue 1,Defender,10.0
Premier League,Midfield,3.5
Bundesliga,Attack,2.5
LaLiga,Defender,4.0
Ligue 1,Defender,0.1
Ligue 1,Defender,12.0
Ligue 1,Attack,4.0
Ligue 1,Attack,5.0
LaLiga,Defender,0.3
LaLiga,Goalkeeper,0.4
Ligue 1,Defender,1.5
Premier League,Midfield,14.0
Ligue 1,Attack,0.3
Ligue 1,Attack,25.0
Ligue 1,Defender,0.25
Serie A,Attack,30.0
Ligue 1,Defender,8.0
Ligue 1,Midfield,0.2
Premier League,Defender,4.0
Ligue 1,Midfield,0.5
Premier League,Midfield,0.25
Ligue 1,Attack,0.05
Ligue 1,Defender,1.0
Bundesliga,Attack,45.0
