liga,position,valor
Premier League,Goalkeeper,7.0
Bundesliga,Defender,1.5
Premier League,Goalkeeper,7.0
Ligue 1,Defender,0.9
Bundesliga,Midfield,1.5
Serie A,Defender,3.0
Bundesliga,Defender,8.0
Serie A,Midfield,18.0
Premier League,Defender,10.0
Bundesliga,Defender,18.0
Bundesliga,Attack,12.0
Bundesliga,Defender,24.0
LaLiga,Defender,3.5
Premier League,Midfield,15.0
Bundesliga,Defender,2.5
Bundesliga,Defender,1.2
LaLiga,Goalkeeper,2.0
Bundesliga,Goalkeeper,12.0
Bundesliga,Attack,2.5
Bundesliga,Attack,2.5
Bundesliga,Defender,1.8
Bundesliga,Defender,30.0
Premier League,Goalkeeper,0.3
Bundesliga,Goalkeeper,4.5
LaLiga,Defender,40.0
Serie A,Attack,6.0
Serie A,Midfield,1.4
Serie A,Midfield,1.8
Serie A,Defender,7.0
Serie A,Attack,2.0
Serie A,Goalkeeper,3.0
LaLiga,Attack,6.0
Serie A,Defender,50.0
Serie A,Midfield,7.0
LaLiga,Goalkeeper,0.8
Premier League,Attack,15.0
Serie A,Midfield,3.5
Serie A,Attack,1.3
Serie A,Goalkeeper,1.5
Serie A,Defender,2.5
Premier League,Goalkeeper,2.5
Bundesliga,Defender,20.0
Serie A,Midfield,25.0
LaLiga,Defender,1.0
Bundesliga,Attack,3.0
Ligue 1,Defender,2.5
Premier League,Attack,25.0
Ligue 1,Attack,0.5
Ligue 1,Defender,3.0
Ligue 1,Midfield,2.5
Bundesliga,Midfield,2.0
Premier League,Attack,8.0
Ligue 1,Goalkeeper,0.1
LaLiga,Midfield,2.0
Serie A,Midfield,7.0
Premier League,Attack,4.0
Serie A,Attack,5.0
Premier League,Midfield,0.6
Premier League,Defender,11.0
Premier League,Midfield,6.0
Serie A,Midfield,8.0
Serie A,Defender,1.0
Serie A,Defender,1.5
Premier League,Attack,3.0
Ligue 1,Defender,2.5
LaLiga,Midfield,9.0
Premier League,Defender,7.0
LaLiga,Goalkeeper,14.0
LaLiga,Attack,1.8
LaLiga,Midfield,2.8
Ligue 1,Midfield,0.25
Premier League,Defender,7.0
Bundesliga,Defender,3.5
Premier League,Goalkeeper,0.15
Ligue 1,Midfield,4.5
Serie A,Attack,8.0
LaLiga,Defender,1.6
LaLiga,Attack,12.0
LaLiga,Midfield,1.5
LaLiga,Defender,1.6
Bundesliga,Defender,2.5
LaLiga,Defender,5.0
Ligue 1,Attack,3.5
Serie A,Midfield,4.0
Bundesliga,Defender,32.0
Bundesliga,Defender,14.0
Bundesliga,Midfield,28.0
LaLiga,Attack,1.5
LaLiga,Attack,6.0
LaLiga,Attack,1.2
Bundesliga,Defender,12.0
LaLiga,Goalkeeper,3.0
Serie A,Midfield,1.4
Premier League,Goalkeeper,5.0
Serie A,Midfield,3.0
Premier League,Midfield,3.0
Bundesliga,Defender,2.5
Bundesliga,Goalkeeper,0.1
Bundesliga,Defender,4.0
Ligue 1,Defender,18.0
Bundesliga,Attack,12.0
Ligue 1,Goalkeeper,9.0
LaLiga,Defender,1.8
LaLiga,Midfield,5.0
Ligue 1,Midfield,2.0
Bundesliga,Midfield,9.0
Bundesliga,Midfield,17.0
Bundesliga,Midfield,3.0
Serie A,Attack,7.0
Serie A,Attack,5.0
Premier League,Defender,30.0
LaLiga,Defender,2.0
Serie A,Midfield,1.6
Premier League,Defender,20.0
Premier League,Defender,1.0
Bundesliga,Defender,0.4
Bundesliga,Defender,5.5
Bundesliga,Attack,0.8
Serie A,Midfield,4.5
Ligue 1,Attack,12.0
LaLiga,Defender,7.0
LaLiga,Attack,20.0
Serie A,Goalkeeper,3.5
Ligue 1,Midfield,3.0
Serie A,Goalkeeper,1.0
Ligue 1,Attack,3.0
Ligue 1,Defender,7.0
Serie A,Defender,5.0
Bundesliga,Defender,7.0
Premier League,Midfield,40.0
Serie A,Goalkeeper,14.0
Serie A,Goalkeeper,0.2
Premier League,Defender,5.0
